Highly correlated feature pairs (above threshold):
children_preschool and raion_popul: Correlation = 0.9540021242742898
preschool_quota and children_preschool: Correlation = 0.8276133089124116
preschool_education_centers_raion and raion_popul: Correlation = 0.8443841121644752
preschool_education_centers_raion and children_preschool: Correlation = 0.8463936887523642
preschool_education_centers_raion and preschool_quota: Correlation = 0.8063263180656782
children_school and raion_popul: Correlation = 0.9570166756255369
children_school and children_preschool: Correlation = 0.9871133068262907
children_school and preschool_quota: Correlation = 0.8087931855473934
children_school and preschool_education_centers_raion: Correlation = 0.8336429853491301
school_quota and children_preschool: Correlation = 0.8500838614798958
school_quota and preschool_quota: Correlation = 0.9316801467806949
school_quota and preschool_education_centers_raion: Correlation = 0.8516691037303714
school_quota and children_school: Correlation = 0.8351834603735221
school_education_centers_raion and raion_popul: Correlation = 0.8250720570128591
school_education_centers_raion and children_preschool: Correlation = 0.8261249249558618
school_education_centers_raion and preschool_education_centers_raion: Correlation = 0.9592780150540305
school_education_centers_raion and children_school: Correlation = 0.8141455465925092
office_raion and culture_objects_top_25_raion: Correlation = 0.8920938101591536
male_f and full_all: Correlation = 0.9997883872313245
female_f and full_all: Correlation = 0.9998497745919439
female_f and male_f: Correlation = 0.9992816330370866
young_all and raion_popul: Correlation = 0.9593282427801442
young_all and children_preschool: Correlation = 0.9964083610161854
young_all and preschool_quota: Correlation = 0.8220595801412609
young_all and preschool_education_centers_raion: Correlation = 0.8419844390306216
young_all and children_school: Correlation = 0.9970571490852607
young_all and school_quota: Correlation = 0.8461697949454626
young_all and school_education_centers_raion: Correlation = 0.8225379481280832
young_male and raion_popul: Correlation = 0.9584955293864342
young_male and children_preschool: Correlation = 0.996589152486875
young_male and preschool_quota: Correlation = 0.8265748014276493
young_male and preschool_education_centers_raion: Correlation = 0.8405331051682633
young_male and children_school: Correlation = 0.9950035093981978
young_male and school_quota: Correlation = 0.8519941329998955
young_male and school_education_centers_raion: Correlation = 0.8217532795230533
young_male and young_all: Correlation = 0.9990820960493318
young_female and raion_popul: Correlation = 0.9582794705446631
young_female and children_preschool: Correlation = 0.9942093792087572
young_female and preschool_quota: Correlation = 0.8145994481230051
young_female and preschool_education_centers_raion: Correlation = 0.8418273197740751
young_female and children_school: Correlation = 0.9972328796251366
young_female and school_quota: Correlation = 0.8372282932123635
young_female and school_education_centers_raion: Correlation = 0.8217106110532741
young_female and young_all: Correlation = 0.998962099085424
young_female and young_male: Correlation = 0.9960939835183411
work_all and raion_popul: Correlation = 0.9965983165223234
work_all and children_preschool: Correlation = 0.953494854454952
work_all and preschool_education_centers_raion: Correlation = 0.8507397121717989
work_all and children_school: Correlation = 0.9535208516946876
work_all and school_education_centers_raion: Correlation = 0.825189708851732
work_all and young_all: Correlation = 0.9571812820956792
work_all and young_male: Correlation = 0.9569732111386925
work_all and young_female: Correlation = 0.9554728306278594
work_male and raion_popul: Correlation = 0.9941220235748774
work_male and children_preschool: Correlation = 0.948264087090496
work_male and preschool_education_centers_raion: Correlation = 0.8384292165493576
work_male and children_school: Correlation = 0.9469952087457986
work_male and school_education_centers_raion: Correlation = 0.8116560671770249
work_male and young_all: Correlation = 0.9512894253000953
work_male and young_male: Correlation = 0.9518730626868752
work_male and young_female: Correlation = 0.948750823115454
work_male and work_all: Correlation = 0.9974109174456873
work_female and raion_popul: Correlation = 0.9938295533480702
work_female and children_preschool: Correlation = 0.9537530987792975
work_female and preschool_education_centers_raion: Correlation = 0.8587337686220179
work_female and children_school: Correlation = 0.9550943838553074
work_female and school_education_centers_raion: Correlation = 0.8345615982884522
work_female and young_all: Correlation = 0.9580915648860586
work_female and young_male: Correlation = 0.957080366932758
work_female and young_female: Correlation = 0.9572354521315382
work_female and work_all: Correlation = 0.9973279005751318
work_female and work_male: Correlation = 0.9894921285802284
ekder_all and raion_popul: Correlation = 0.9536719140425516
ekder_all and children_preschool: Correlation = 0.8509294383959808
ekder_all and children_school: Correlation = 0.8636890530761714
ekder_all and young_all: Correlation = 0.8615772192814549
ekder_all and young_male: Correlation = 0.8590888625864538
ekder_all and young_female: Correlation = 0.8624840410142759
ekder_all and work_all: Correlation = 0.930402117358886
ekder_all and work_male: Correlation = 0.9305974332799709
ekder_all and work_female: Correlation = 0.9252698287050877
ekder_male and raion_popul: Correlation = 0.9274718876446232
ekder_male and children_preschool: Correlation = 0.8129626920408357
ekder_male and children_school: Correlation = 0.8280751802779613
ekder_male and young_all: Correlation = 0.824830250821434
ekder_male and young_male: Correlation = 0.8225835451153733
ekder_male and young_female: Correlation = 0.825553771549689
ekder_male and work_all: Correlation = 0.9006774253187961
ekder_male and work_male: Correlation = 0.9021572080889252
ekder_male and work_female: Correlation = 0.8943978077047631
ekder_male and ekder_all: Correlation = 0.9926006303488493
ekder_female and raion_popul: Correlation = 0.9608036656825301
ekder_female and children_preschool: Correlation = 0.8637922840784895
ekder_female and children_school: Correlation = 0.8754429743006117
ekder_female and young_all: Correlation = 0.8738459897181753
ekder_female and young_male: Correlation = 0.8712618866780658
ekder_female and young_female: Correlation = 0.8748300896017098
ekder_female and work_all: Correlation = 0.9392148058315107
ekder_female and work_male: Correlation = 0.9388369808153992
ekder_female and work_female: Correlation = 0.9346180680313679
ekder_female and ekder_all: Correlation = 0.9985358061434977
ekder_female and ekder_male: Correlation = 0.9845788236766531
0_6_all and raion_popul: Correlation = 0.9540021242742898
0_6_all and children_preschool: Correlation = 1.0
0_6_all and preschool_quota: Correlation = 0.8276133089124116
0_6_all and preschool_education_centers_raion: Correlation = 0.8463936887523642
0_6_all and children_school: Correlation = 0.9871133068262908
0_6_all and school_quota: Correlation = 0.8500838614798958
0_6_all and school_education_centers_raion: Correlation = 0.8261249249558619
0_6_all and young_all: Correlation = 0.9964083610161855
0_6_all and young_male: Correlation = 0.996589152486875
0_6_all and young_female: Correlation = 0.994209379208757
0_6_all and work_all: Correlation = 0.9534948544549519
0_6_all and work_male: Correlation = 0.948264087090496
0_6_all and work_female: Correlation = 0.9537530987792974
0_6_all and ekder_all: Correlation = 0.850929438395981
0_6_all and ekder_male: Correlation = 0.8129626920408356
0_6_all and ekder_female: Correlation = 0.8637922840784895
0_6_male and raion_popul: Correlation = 0.9532357068944286
0_6_male and children_preschool: Correlation = 0.9991801168455313
0_6_male and preschool_quota: Correlation = 0.8313667768355735
0_6_male and preschool_education_centers_raion: Correlation = 0.8458819918415437
0_6_male and children_school: Correlation = 0.9852875543918125
0_6_male and school_quota: Correlation = 0.8545831690710677
0_6_male and school_education_centers_raion: Correlation = 0.8265074220401915
0_6_male and young_all: Correlation = 0.9950837186906193
0_6_male and young_male: Correlation = 0.9967479211589636
0_6_male and young_female: Correlation = 0.9913101237961179
0_6_male and work_all: Correlation = 0.953215540171675
0_6_male and work_male: Correlation = 0.9484816285244019
0_6_male and work_female: Correlation = 0.9529705859357178
0_6_male and ekder_all: Correlation = 0.8491908599552437
0_6_male and ekder_male: Correlation = 0.8113355002694569
0_6_male and ekder_female: Correlation = 0.8620124611819974
0_6_male and 0_6_all: Correlation = 0.9991801168455313
0_6_female and raion_popul: Correlation = 0.9530814413833754
0_6_female and children_preschool: Correlation = 0.999064729909906
0_6_female and preschool_quota: Correlation = 0.8212586680610476
0_6_female and preschool_education_centers_raion: Correlation = 0.8453820226122231
0_6_female and children_school: Correlation = 0.9872745199060639
0_6_female and school_quota: Correlation = 0.842860306083532
0_6_female and school_education_centers_raion: Correlation = 0.8241922547104314
0_6_female and young_all: Correlation = 0.9960180764446811
0_6_female and young_male: Correlation = 0.9946141589770772
0_6_female and young_female: Correlation = 0.9955048740312389
0_6_female and work_all: Correlation = 0.9520558760212462
0_6_female and work_male: Correlation = 0.94630325045453
0_6_female and work_female: Correlation = 0.9528518261279564
0_6_female and ekder_all: Correlation = 0.8512248217408399
0_6_female and ekder_male: Correlation = 0.8132060035828214
0_6_female and ekder_female: Correlation = 0.8641093539415023
0_6_female and 0_6_all: Correlation = 0.999064729909906
0_6_female and 0_6_male: Correlation = 0.9964950377961815
7_14_all and raion_popul: Correlation = 0.9570166756255369
7_14_all and children_preschool: Correlation = 0.9871133068262907
7_14_all and preschool_quota: Correlation = 0.8087931855473934
7_14_all and preschool_education_centers_raion: Correlation = 0.8336429853491301
7_14_all and children_school: Correlation = 1.0
7_14_all and school_quota: Correlation = 0.8351834603735221
7_14_all and school_education_centers_raion: Correlation = 0.8141455465925092
7_14_all and young_all: Correlation = 0.9970571490852607
7_14_all and young_male: Correlation = 0.9950035093981978
7_14_all and young_female: Correlation = 0.9972328796251368
7_14_all and work_all: Correlation = 0.9535208516946876
7_14_all and work_male: Correlation = 0.9469952087457985
7_14_all and work_female: Correlation = 0.9550943838553074
7_14_all and ekder_all: Correlation = 0.8636890530761714
